KEY,CN,TC_NT,TC_USD
Text_1_310,[FFFF96FF]等级：[-],[FFFF96FF]等級：[-],[FFFF96FF]等級：[-]
Text_1_313,[ffff96]强化等级：[-],[ffff96]強化等級：[-],[ffff96]強化等級：[-]
Text_1_314,鞋子,鞋子,鞋子
Text_1_315,上衣,上衣,上衣
Text_1_316,裤子,褲子,褲子
Text_1_317,武器,武器,武器
Text_1_318,[ffff96]精炼阶数:[-] ,[ffff96]精煉階數:[-],[ffff96]精煉階數:[-]
Text_1_320,[ffff96]升星等级：[-],[ffff96]升星等級：[-],[ffff96]升星等級：[-]
Text_1_321,无,無,無
Text_1_322,装备信息,裝備資訊,裝備資訊
Text_1_323,装备于,裝備於,裝備於
Text_1_324,合成,合成,合成
Text_1_325,装备于\n,裝備於\n,裝備於\n
Text_1_326,[FFFF96FF]数量：[-],[FFFF96FF]數量：[-],[FFFF96FF]數量：[-]
Text_1_327,没有可以出售的装备！,沒有可以出售的裝備！,沒有可以出售的裝備！
Text_1_328,成功卖出！,成功賣出！,成功賣出！
Text_1_329,装备,裝備,裝備
Text_1_330,装备中的时装不能重铸,裝備中的時裝不能重鑄,裝備中的時裝不能重鑄
Text_1_331,等级为1的时装不能重铸,等級為1的時裝不能重鑄,等級為1的時裝不能重鑄
Text_1_332,重铸预览,重鑄預覽,重鑄預覽
Text_1_333,重铸,重鑄,重鑄
Text_1_334,，可返回以下资源:,，可返回以下資源:,，可返回以下資源:
Text_1_335,[F0E77B]当前时装强化等级：[-] ,[F0E77B]當前時裝強化等級：[-],[F0E77B]當前時裝強化等級：[-]
Text_1_336,时装信息,時裝資訊,時裝資訊
Text_1_337,[F0E77B]强化等级： [-],[F0E77B]強化等級： [-],[F0E77B]強化等級： [-]
Text_1_339,[F0E77B]强化等级：[-],[F0E77B]強化等級：[-],[F0E77B]強化等級：[-]
Text_1_340,[F0E77B]当前时装强化等级:[-] ,[F0E77B]當前時裝強化等級:[-],[F0E77B]當前時裝強化等級:[-]
Text_1_341,夺宝,奪寶,奪寶
Text_1_342,试炼塔,試煉塔,試煉塔
Text_1_343,巡逻,巡邏,巡邏
Text_1_344,世界Boss,世界Boss,世界Boss
Text_1_345,宠物关卡,寵物關卡,寵物關卡
Text_1_346,忍务,忍務,忍務
Text_1_347,[FFFF96]战力：[-],[FFFF96]戰力：[-],[FFFF96]戰力：[-]
Text_1_348,已经有在巡逻的忍者了！,已經有在巡邏的忍者了！,已經有在巡邏的忍者了！
Text_1_349,出售,出售,出售
Text_1_350,按品质选择,按品質選擇,按品質選擇
Text_1_351,[ffff96]已选择数量：[-],[ffff96]已選擇數量：[-],[ffff96]已選擇數量：[-]
Text_1_352,[ffff96]出售获得：[-]      ,[ffff96]出售獲得：[-],[ffff96]出售獲得：[-]
Text_1_353,保存方案成功！,保存方案成功！,保存方案成功！
Text_1_354,[ffff96]消耗精力：[-]     ,[ffff96]消耗精力：[-],[ffff96]消耗精力：[-]
Text_1_355,[ffff96]消耗钻石：[-]      ,[ffff96]消耗鑽石：[-],[ffff96]消耗鑽石：[-]
Text_1_356,巡逻成功！,巡邏成功！,巡邏成功！
Text_1_357,或\n,或\n,或\n
Text_1_358,未解锁,未解鎖,未解鎖
Text_1_359,巡逻中,巡邏中,巡邏中
Text_1_360,人类的历史曾有灾厄。\n人心之恶衍生妖魔，\n百年之间不可遏制。\n人类村庄里，\n每几百年便有祭品少女作为终极兵器转生，\n以抵消妖魔灭世\n……,人類的歷史曾有災厄。\n人心之惡衍生妖魔，\n百年之間不可遏制。\n人類村莊裡，\n每幾百年便有祭品少女作為終極兵器轉生，\n以抵消妖魔滅世\n……,人類的歷史曾有災厄。\n人心之惡衍生妖魔，\n百年之間不可遏制。\n人類村莊裡，\n每幾百年便有祭品少女作為終極兵器轉生，\n以抵消妖魔滅世\n……
Text_1_366,为了帮助少女摆脱轮回的悲命\n前代先忍们利用秘术将隐秘的力量存封入人偶\n造出了一名全新的忍者少女\n她承载着人类的救赎世界的期望,為了幫助少女擺脫輪回的悲命\n前代先忍們利用秘術將隱秘的力量存封入人偶\n造出了一名全新的忍者少女\n她承載著人類的救贖世界的期望,為了幫助少女擺脫輪回的悲命\n前代先忍們利用秘術將隱秘的力量存封入人偶\n造出了一名全新的忍者少女\n她承載著人類的救贖世界的期望
Text_1_370,这样应该差不多了。,這樣應該差不多了。,這樣應該差不多了。
Text_1_371,别计较那些啦，我知道，欧派比你大嘛。,別計較那些啦，我知道，歐派比你大嘛。,別計較那些啦，我知道，歐派比你大嘛。
Text_1_372,我不是指这个！！……毕竟是个人偶，能行吗？,我不是指這個！！……畢竟是個人偶，能行嗎？,我不是指這個！！……畢竟是個人偶，能行嗎？
Text_1_373,嘛，这就要看它的造化了,嘛，這就要看它的造化了,嘛，這就要看它的造化了
Text_1_374,不管怎么说，先给它取个名字吧。,不管怎麼說，先給它取個名字吧。,不管怎麼說，先給它取個名字吧。
Text_1_375,灵力与机能一天天注入人偶的体髓\n活下来的忍者们也在日日前行\n现在的大陆已由【半藏国立学院】【秘立蛇女子学园】【月闪女子学馆】三大势力为代表\n神乐的选举之时急迫逼近\n\n终于，神乐降临之日逼近\n木偶少女睁开了双眼\n……,靈力與機能一天天注入人偶的體髓\n活下來的忍者們也在日日前行\n現在的大陸已由【半藏國立學院】【秘立蛇女子學園】【月閃女子學館】三大勢力為代表\n神樂的選舉之時急迫逼近\n\n終於，神樂降臨之日逼近\n木偶少女睜開了雙眼\n……,靈力與機能一天天注入人偶的體髓\n活下來的忍者們也在日日前行\n現在的大陸已由【半藏國立學院】【秘立蛇女子學園】【月閃女子學館】三大勢力為代表\n神樂的選舉之時急迫逼近\n\n終於，神樂降臨之日逼近\n木偶少女睜開了雙眼\n……
Text_1_379,先来看一眼这个世界吧！,先來看一眼這個世界吧！,先來看一眼這個世界吧！
Text_1_380,咦，地上有个大箱子，里面有什么呢？,咦，地上有個大箱子，裡面有什麼呢？,咦，地上有個大箱子，裡面有什麼呢？
Text_1_381,点击[FF0000]通关宝箱[-]，领取奖励。,點擊[FF0000]通關寶箱[-]，領取獎勵。,點擊[FF0000]通關寶箱[-]，領取獎勵。
Text_1_382,闪·云雀,閃·雲雀,閃·雲雀
Text_1_383,那个——,那個——,那個——
Text_1_384,嗯？你也是老太婆派来的救兵？,嗯？你也是老太婆派來的救兵？,嗯？你也是老太婆派來的救兵？
Text_1_385,云雀——看你灵气很充沛的样子，能不能让云雀和你一起上路？,雲雀——看你靈氣很充沛的樣子，能不能讓雲雀和你一起上路？,雲雀——看你靈氣很充沛的樣子，能不能讓雲雀和你一起上路？
Text_1_386,喔，你眼睛生得漂亮，眼光也不错哦^_^,喔，你眼睛生得漂亮，眼光也不錯哦^_^,喔，你眼睛生得漂亮，眼光也不錯哦^_^
Text_1_387,……云雀的华眼……一直引来很多恶忍觊觎，我刚才听你说要去进修忍者，不如我带你回我们半藏吧！,……雲雀的華眼……一直引來很多惡忍覬覦，我剛才聽你說要去進修忍者，不如我帶你回我們半藏吧！,……雲雀的華眼……一直引來很多惡忍覬覦，我剛才聽你說要去進修忍者，不如我帶你回我們半藏吧！
Text_1_388,你竟然是半藏的学生吗？那真是巧的很，放心吧，我会保护你的！,你竟然是半藏的學生嗎？那真是巧的很，放心吧，我會保護你的！,你竟然是半藏的學生嗎？那真是巧的很，放心吧，我會保護你的！
Text_1_389,好嘞！现在云雀就能和你并肩作战了！,好嘞！現在雲雀就能和你並肩作戰了！,好嘞！現在雲雀就能和你並肩作戰了！
Text_1_390,这前面看起来有点危险，我们还是再找个同伴一起吧？,這前面看起來有點危險，我們還是再找個同伴一起吧？,這前面看起來有點危險，我們還是再找個同伴一起吧？
Text_1_391,这荒山野岭的，哪来的同伴……,這荒山野嶺的，哪來的同伴……,這荒山野嶺的，哪來的同伴……
Text_1_392,这个云雀早就打探清楚了。跟我来。,這個雲雀早就打探清楚了。跟我來。,這個雲雀早就打探清楚了。跟我來。
Text_1_393,点击[FF0000]商城[-]，招募可靠的小伙伴。,點擊[FF0000]商城[-]，招募可靠的小夥伴。,點擊[FF0000]商城[-]，招募可靠的小夥伴。
Text_1_394,点击[FF0000]神忍招募[-]，可以遇到\n更强力的羁绊哦。,點擊[FF0000]神忍招募[-]，可以遇到\n更強力的羈絆哦。,點擊[FF0000]神忍招募[-]，可以遇到\n更強力的羈絆哦。
Text_1_395,是不是快到校门口了,是不是快到校門口了,是不是快到校門口了
Text_1_396,嗯！不过学校外设下了更加危险的关卡。想要顺利进入，还需要变强！,嗯！不過學校外設下了更加危險的關卡。想要順利進入，還需要變強！,嗯！不過學校外設下了更加危險的關卡。想要順利進入，還需要變強！
Text_1_397,闪·柳生,閃·柳生,閃·柳生
Text_1_398,没必要这个也告诉她吧……,沒必要這個也告訴她吧……,沒必要這個也告訴她吧……
Text_1_399,没问题的！大姐头不是坏人！跟我来！,沒問題的！大姐頭不是壞人！跟我來！,沒問題的！大姐頭不是壞人！跟我來！
Text_1_400,手动点击[ff0000]自动添加[-]\n升级材料。,手動點擊[ff0000]自動添加[-]\n升級材料。,手動點擊[ff0000]自動添加[-]\n升級材料。
Text_1_401,这样就可以升级忍者小伙伴了！,這樣就可以升級忍者小夥伴了！,這樣就可以升級忍者小夥伴了！
Text_1_402,现在让我们继续上路吧。,現在讓我們繼續上路吧。,現在讓我們繼續上路吧。
Text_1_403,收集关卡星级，达到指定数量\n可开启对应[FF0000]星级宝箱[-]！,收集關卡星級，達到指定數量\n可開啟對應[FF0000]星級寶箱[-]！,收集關卡星級，達到指定數量\n可開啟對應[FF0000]星級寶箱[-]！
Text_1_404,[ff0000]忍者[-]进化可大幅提高战力，\n朝着神乐之巅前进！,[ff0000]忍者[-]進化可大幅提高戰力，\n朝著神樂之巔前進！,[ff0000]忍者[-]進化可大幅提高戰力，\n朝著神樂之巔前進！
Text_1_405,果然感觉体内涌起一股洪荒之力！那什么，刚才谁要打架来着！,果然感覺體內湧起一股洪荒之力！那什麼，剛才誰要打架來著！,果然感覺體內湧起一股洪荒之力！那什麼，剛才誰要打架來著！
Text_1_406,那、那个……柳生酱只是随口一说……,那、那個……柳生醬只是隨口一說……,那、那個……柳生醬只是隨口一說……
Text_1_407,废话少说，放学别走！,廢話少說，放學別走！,廢話少說，放學別走！
Text_1_408,也算不打不相识，以后我们便是同学了。,也算不打不相識，以後我們便是同學了。,也算不打不相識，以後我們便是同學了。
Text_1_409,哼，你们半藏的人打招呼的方式还真是特别呢。,哼，你們半藏的人打招呼的方式還真是特別呢。,哼，你們半藏的人打招呼的方式還真是特別呢。
Text_1_410,嘛，作为对之前行为的道歉，我为你准备了一份小礼物。,嘛，作為對之前行為的道歉，我為你準備了一份小禮物。,嘛，作為對之前行為的道歉，我為你準備了一份小禮物。
Text_1_411,嗯？是什么？咳…别以为你用这种……,嗯？是什麼？咳…別以為你用這種……,嗯？是什麼？咳…別以為你用這種……
Text_1_412,好啦，我们先去看看柳生酱送了什么给你吧！,好啦，我們先去看看柳生醬送了什麼給你吧！,好啦，我們先去看看柳生醬送了什麼給你吧！
Text_1_413,达到指定等级可领取对应礼包,達到指定等級可領取對應禮包,達到指定等級可領取對應禮包
Text_1_414,到达[ff0000]10级[-]，更有[ff0000]丰厚大礼[-]等着你！,到達[ff0000]10級[-]，更有[ff0000]豐厚大禮[-]等著你！,到達[ff0000]10級[-]，更有[ff0000]豐厚大禮[-]等著你！
Text_1_415,总感觉，还有哪里可以突破一下……,總感覺，還有哪裡可以突破一下……,總感覺，還有哪裡可以突破一下……
Text_1_416,啊咧，云雀知道了！,啊咧，雲雀知道了！,啊咧，雲雀知道了！
Text_1_417,新生入学都可以开始佩戴武器了，我带你去试试看吧。,新生入學都可以開始佩戴武器了，我帶你去試試看吧。,新生入學都可以開始佩戴武器了，我帶你去試試看吧。
Text_1_418,点击布阵进入阵容装备武器吧！,點擊佈陣進入陣容裝備武器吧！,點擊佈陣進入陣容裝備武器吧！
Text_1_419,你是不是又忘了点什么？,你是不是又忘了點什麼？,你是不是又忘了點什麼？
Text_1_420,诶？！,誒？！,誒？！
Text_1_421,装备武器以后不该有个保养说明吗？,裝備武器以後不該有個保養說明嗎？,裝備武器以後不該有個保養說明嗎？
Text_1_422,云雀差点就忘了！你再跟我来一趟！,雲雀差點就忘了！你再跟我來一趟！,雲雀差點就忘了！你再跟我來一趟！
Text_1_423,点击[FF0000]强化5次[-]按键对装备进行快速强化。\n也可以点击[ff0000]强化[-]进行强化。,點擊[FF0000]強化5次[-]按鍵對裝備進行快速強化。\n也可以點擊[ff0000]強化[-]進行強化。,點擊[FF0000]強化5次[-]按鍵對裝備進行快速強化。\n也可以點擊[ff0000]強化[-]進行強化。
Text_1_424,恭喜你离成为神乐又进一步，请再接再厉！,恭喜你離成為神樂又進一步，請再接再厲！,恭喜你離成為神樂又進一步，請再接再厲！
Text_1_425,啧，你干什么？！,嘖，你幹什麼？！,嘖，你幹什麼？！
Text_1_426,闪·葛城,閃·葛城,閃·葛城
Text_1_427,废话，当然是在做有意义的事情~~,廢話，當然是在做有意義的事情~~,廢話，當然是在做有意義的事情~~
Text_1_428,再不放手我不客气了！,再不放手我不客氣了！,再不放手我不客氣了！
Text_1_429,嘛，同学之间不要这么认真啦，你要是真的手痒我带你去个地方！,嘛，同學之間不要這麼認真啦，你要是真的手癢我帶你去個地方！,嘛，同學之間不要這麼認真啦，你要是真的手癢我帶你去個地方！
Text_1_430,竞技场大门已开，点击进入，剑弑天下！,競技場大門已開，點擊進入，劍弑天下！,競技場大門已開，點擊進入，劍弑天下！
Text_1_431,点击挑战，攀登神乐之巅！,點擊挑戰，攀登神樂之巔！,點擊挑戰，攀登神樂之巔！
Text_1_432,挑战竞技场可获得声望值，声望可在\n竞技场商店兑换物品。,挑戰競技場可獲得聲望值，聲望可在\n競技場商店兌換物品。,挑戰競技場可獲得聲望值，聲望可在\n競技場商店兌換物品。
Text_1_433,你好客官，有什么要买的吗？这里可以使用累积的声望值兑换所需商品。,你好客官，有什麼要買的嗎？這裡可以使用累積的聲望值兌換所需商品。,你好客官，有什麼要買的嗎？這裡可以使用累積的聲望值兌換所需商品。
Text_1_434,呃....让云雀看看....啊，声望值还不够呢.....,呃....讓雲雀看看....啊，聲望值還不夠呢.....,呃....讓雲雀看看....啊，聲望值還不夠呢.....
Text_1_435,啧，那就回去攒够了声望值再来吧，笨~蛋~,嘖，那就回去攢夠了聲望值再來吧，笨~蛋~,嘖，那就回去攢夠了聲望值再來吧，笨~蛋~
Text_1_436,欸？——哪、哪有你这样的？！,欸？——哪、哪有你這樣的？！,欸？——哪、哪有你這樣的？！
Text_1_437,哦哟，很不甘心吧？笨~蛋~，笨~蛋~，笨~~蛋~~,哦喲，很不甘心吧？笨~蛋~，笨~蛋~，笨~~蛋~~,哦喲，很不甘心吧？笨~蛋~，笨~蛋~，笨~~蛋~~
Text_1_438,又是残卷，那么这个据说有神秘力量的残卷要怎么用？,又是殘卷，那麼這個據說有神秘力量的殘卷要怎麼用？,又是殘卷，那麼這個據說有神秘力量的殘卷要怎麼用？
Text_1_439,我看看你拿到多少张了……唔，跟我来吧。,我看看你拿到多少張了……唔，跟我來吧。,我看看你拿到多少張了……唔，跟我來吧。
Text_1_440,收集超秘传忍法残卷，可向\n神乐之道步步迈进。,收集超秘傳忍法殘卷，可向\n神樂之道步步邁進。,收集超秘傳忍法殘卷，可向\n神樂之道步步邁進。
Text_1_441,喂，放手啦，这么神经兮兮地，是要去哪里？,喂，放手啦，這麼神經兮兮地，是要去哪裡？,喂，放手啦，這麼神經兮兮地，是要去哪裡？
Text_1_442,嘘——！这么大声要被发现的！跟我来！云雀带你去夺宝啦！,噓——！這麼大聲要被發現的！跟我來！雲雀帶你去奪寶啦！,噓——！這麼大聲要被發現的！跟我來！雲雀帶你去奪寶啦！
Text_1_443,切，有什么宝贝能比忍法残卷还厉害？,切，有什麼寶貝能比忍法殘卷還厲害？,切，有什麼寶貝能比忍法殘卷還厲害？
Text_1_444,入学到了一定程度，大家都身怀宝藏碎片，把它们抢过来，就能合成厉害的宝物啦！,入學到了一定程度，大家都身懷寶藏碎片，把它們搶過來，就能合成厲害的寶物啦！,入學到了一定程度，大家都身懷寶藏碎片，把它們搶過來，就能合成厲害的寶物啦！
Text_1_445,点击忍务参与更多玩法。,點擊忍務參與更多玩法。,點擊忍務參與更多玩法。
Text_1_446,参与夺宝获取宝物，提升忍者战力！,參與奪寶獲取寶物，提升忍者戰力！,參與奪寶獲取寶物，提升忍者戰力！
Text_1_447,点击宝物碎片寻找碎片持有者！,點擊寶物碎片尋找碎片持有者！,點擊寶物碎片尋找碎片持有者！
Text_1_448,选定抢夺对象，抢夺宝物碎片！,選定搶奪對象，搶奪寶物碎片！,選定搶奪對象，搶奪寶物碎片！
Text_1_449,战斗胜利,戰鬥勝利,戰鬥勝利
Text_1_450,抢别人的东西还挺刺激的，哈哈。,搶別人的東西還挺刺激的，哈哈。,搶別人的東西還挺刺激的，哈哈。
Text_1_451,抢夺齐宝物碎片就可以合成相应的宝物，并可装备在忍者身上增强实力。,搶奪齊寶物碎片就可以合成相應的寶物，並可裝備在忍者身上增強實力。,搶奪齊寶物碎片就可以合成相應的寶物，並可裝備在忍者身上增強實力。
Text_1_452,但是身怀宝物，总会被觊觎吧？,但是身懷寶物，總會被覬覦吧？,但是身懷寶物，總會被覬覦吧？
Text_1_453,没错，所以实在不放心就用免战牌挡一挡吧！在商城可以买到哦。,沒錯，所以實在不放心就用免戰牌擋一擋吧！在商城可以買到哦。,沒錯，所以實在不放心就用免戰牌擋一擋吧！在商城可以買到哦。
Text_1_454,接下来你再自己熟悉一下这里吧，当心敌袭哦！,接下來你再自己熟悉一下這裡吧，當心敵襲哦！,接下來你再自己熟悉一下這裡吧，當心敵襲哦！
Text_1_455,你的刀保养得不错嘛，看来你对装备培养颇有心得。,你的刀保養得不錯嘛，看來你對裝備培養頗有心得。,你的刀保養得不錯嘛，看來你對裝備培養頗有心得。
Text_1_456,那当然了，我还要靠它们挑战神乐之道呢！,那當然了，我還要靠它們挑戰神樂之道呢！,那當然了，我還要靠它們挑戰神樂之道呢！
Text_1_457,其实装备培养还有一个门道，我来教你吧。,其實裝備培養還有一個門道，我來教你吧。,其實裝備培養還有一個門道，我來教你吧。
Text_1_458,收集装备精炼石，可精炼装备，\n获得更强属性！,收集裝備精煉石，可精煉裝備，\n獲得更強屬性！,收集裝備精煉石，可精煉裝備，\n獲得更強屬性！
Text_1_459,选择一件装备进行培养，\n成为更强大的忍者！,選擇一件裝備進行培養，\n成為更強大的忍者！,選擇一件裝備進行培養，\n成為更強大的忍者！
Text_1_460,进入精炼页面，精炼装备。,進入精煉頁面，精煉裝備。,進入精煉頁面，精煉裝備。
Text_1_461,经过几番缠斗，\n少女一行人抵达善忍名校【半藏学院】，\n正式修行即将开始。,經過幾番纏鬥，\n少女一行人抵達善忍名校【半藏學院】，\n正式修行即將開始。,經過幾番纏鬥，\n少女一行人抵達善忍名校【半藏學院】，\n正式修行即將開始。
Text_1_464,少女栖身半藏学院，\n蒙校友指点共进，\n进修之路渐渐明朗。,少女棲身半藏學院，\n蒙校友指點共進，\n進修之路漸漸明朗。,少女棲身半藏學院，\n蒙校友指點共進，\n進修之路漸漸明朗。
Text_1_467,与同伴们前往执行任务时遇到一些不明身份的忍者招呼。\n一直很顺利的征途似乎也变得不那么顺利了。,與同伴們前往執行任務時遇到一些不明身份的忍者招呼。\n一直很順利的征途似乎也變得不那麼順利了。,與同伴們前往執行任務時遇到一些不明身份的忍者招呼。\n一直很順利的征途似乎也變得不那麼順利了。
Text_1_469,商业街事件中险些吃亏的学生们加紧修炼。\n少女极强的天赋慢慢显山露水。,商業街事件中險些吃虧的學生們加緊修煉。\n少女極強的天賦慢慢顯山露水。,商業街事件中險些吃虧的學生們加緊修煉。\n少女極強的天賦慢慢顯山露水。
Text_1_471,外出购物遭遇恶忍咏对斑鸠痛下杀手，\n少女伸出援手破除危机，\n但斑鸠并没有因获救而走出阴霾\n……,外出購物遭遇惡忍詠對斑鳩痛下殺手，\n少女伸出援手破除危機，\n但斑鳩並沒有因獲救而走出陰霾\n……,外出購物遭遇惡忍詠對斑鳩痛下殺手，\n少女伸出援手破除危機，\n但斑鳩並沒有因獲救而走出陰霾\n……
Text_1_474,低迷期的斑鸠返校后与关系紧张的葛城爆发矛盾，\n少女极力阻止，\n终化解两人不和。,低迷期的斑鳩返校後與關係緊張的葛城爆發矛盾，\n少女極力阻止，\n終化解兩人不和。,低迷期的斑鳩返校後與關係緊張的葛城爆發矛盾，\n少女極力阻止，\n終化解兩人不和。
Text_1_477,少女一行人遭受蛇女学院恶忍奇袭，\n同学们被冲散各困结界。\n半藏学院陷入大危机。,少女一行人遭受蛇女學院惡忍奇襲，\n同學們被沖散各困結界。\n半藏學院陷入大危機。,少女一行人遭受蛇女學院惡忍奇襲，\n同學們被沖散各困結界。\n半藏學院陷入大危機。
Text_1_480,少女奔走结界之间，\n试图打破禁锢解救同门。\n一番奋战，\n终于柳生从未来结界中脱出。,少女奔走結界之間，\n試圖打破禁錮解救同門。\n一番奮戰，\n終於柳生從未來結界中脫出。,少女奔走結界之間，\n試圖打破禁錮解救同門。\n一番奮戰，\n終於柳生從未來結界中脫出。
Text_1_484,性格火爆的葛城与冷冰冰的蛇女日影对抗，\n少女前往施救时葛城已吃败。,性格火爆的葛城與冷冰冰的蛇女日影對抗，\n少女前往施救時葛城已吃敗。,性格火爆的葛城與冷冰冰的蛇女日影對抗，\n少女前往施救時葛城已吃敗。
Text_1_486,斑鸠再次面对强敌咏，\n不论心态还是修行上都是重压。\n被救出时状态显然已不容乐观。,斑鳩再次面對強敵詠，\n不論心態還是修行上都是重壓。\n被救出時狀態顯然已不容樂觀。,斑鳩再次面對強敵詠，\n不論心態還是修行上都是重壓。\n被救出時狀態顯然已不容樂觀。
Text_1_489,不擅打斗的云雀被女王春花盯上，\n虽然并没有受到什么伤害，\n但似乎遗漏了什么重要的信息。,不擅打鬥的雲雀被女王春花盯上，\n雖然並沒有受到什麼傷害，\n但似乎遺漏了什麼重要的資訊。,不擅打鬥的雲雀被女王春花盯上，\n雖然並沒有受到什麼傷害，\n但似乎遺漏了什麼重要的資訊。
Text_1_492,半藏大人的孙女被蛇女队长焰带走，\n飞鸟目前身手仍欠缺，\n不幸惨败。,半藏大人的孫女被蛇女隊長焰帶走，\n飛鳥目前身手仍欠缺，\n不幸慘敗。,半藏大人的孫女被蛇女隊長焰帶走，\n飛鳥目前身手仍欠缺，\n不幸慘敗。
Text_1_495,经过蛇女奇袭之后的半藏学院学生们之间的羁绊受到了一定冲击，\n争强好胜的斑鸠葛城互不相容，\n少女一怒之下以武力平之。,經過蛇女奇襲之後的半藏學院學生們之間的羈絆受到了一定衝擊，\n爭強好勝的斑鳩葛城互不相容，\n少女一怒之下以武力平之。,經過蛇女奇襲之後的半藏學院學生們之間的羈絆受到了一定衝擊，\n爭強好勝的斑鳩葛城互不相容，\n少女一怒之下以武力平之。
Text_1_498,认为自己没有好好保护到云雀的柳生陷入迷惘，\n少女极力开导\n柳生既定了新的目标。,認為自己沒有好好保護到雲雀的柳生陷入迷惘，\n少女極力開導\n柳生既定了新的目標。,認為自己沒有好好保護到雲雀的柳生陷入迷惘，\n少女極力開導\n柳生既定了新的目標。
Text_1_501,身为半藏大人的孙女的飞鸟觉得自己愧对盛名，\n少女以懵懂之身介入，\n反而更加简单地将飞鸟引出阴霾。,身為半藏大人的孫女的飛鳥覺得自己愧對盛名，\n少女以懵懂之身介入，\n反而更加簡單地將飛鳥引出陰霾。,身為半藏大人的孫女的飛鳥覺得自己愧對盛名，\n少女以懵懂之身介入，\n反而更加簡單地將飛鳥引出陰霾。
Text_1_504,半藏学生闭关修炼，\n斑鸠遁入丛林修行场进思，\n获益颇多。,半藏學生閉關修煉，\n斑鳩遁入叢林修行場進思，\n獲益頗多。,半藏學生閉關修煉，\n斑鳩遁入叢林修行場進思，\n獲益頗多。
Text_1_507,葛城进入雪山，\n暴躁的性格面对封山大雪，\n使得浮躁的心性沉静不少。,葛城進入雪山，\n暴躁的性格面對封山大雪，\n使得浮躁的心性沉靜不少。,葛城進入雪山，\n暴躁的性格面對封山大雪，\n使得浮躁的心性沉靜不少。
Text_1_510,云雀隐入人群，\n特训华眼透视天赋技能，\n天赋异禀得到极大提升。,雲雀隱入人群，\n特訓華眼透視天賦技能，\n天賦異稟得到極大提升。,雲雀隱入人群，\n特訓華眼透視天賦技能，\n天賦異稟得到極大提升。
Text_1_513,柳生苦修于水畔，\n本就在半藏学生中技高一筹，\n一番修炼后更上一层楼。,柳生苦修于水畔，\n本就在半藏學生中技高一籌，\n一番修煉後更上一層樓。,柳生苦修于水畔，\n本就在半藏學生中技高一籌，\n一番修煉後更上一層樓。
Text_1_516,飞鸟决心回到最初始之地，\n于镇魂森林反思忍道，\n终得彻悟。,飛鳥決心回到最初始之地，\n于鎮魂森林反思忍道，\n終得徹悟。,飛鳥決心回到最初始之地，\n于鎮魂森林反思忍道，\n終得徹悟。
Text_1_519,修行尾声一行人遇到传说中的半藏学姐大道寺，\n一番苦战下来获得学姐认同，\n此行看似较为圆满。,修行尾聲一行人遇到傳說中的半藏學姐大道寺，\n一番苦戰下來獲得學姐認同，\n此行看似較為圓滿。,修行尾聲一行人遇到傳說中的半藏學姐大道寺，\n一番苦戰下來獲得學姐認同，\n此行看似較為圓滿。
Text_1_522,集训结束的半藏学生们在温泉屋放松，\n葛城本性大发，\n众人不堪其扰。\n嘻耍中竟遭遇蛇女一行人，\n气氛一时紧张不已。,集訓結束的半藏學生們在溫泉屋放鬆，\n葛城本性大發，\n眾人不堪其擾。\n嘻耍中竟遭遇蛇女一行人，\n氣氛一時緊張不已。,集訓結束的半藏學生們在溫泉屋放鬆，\n葛城本性大發，\n眾人不堪其擾。\n嘻耍中竟遭遇蛇女一行人，\n氣氛一時緊張不已。
Text_1_527,半藏返校接到新的任务，\n护送一批秘药运程，\n不料被间谍未来窃取药品。,半藏返校接到新的任務，\n護送一批秘藥運程，\n不料被間諜未來竊取藥品。,半藏返校接到新的任務，\n護送一批秘藥運程，\n不料被間諜未來竊取藥品。
Text_1_530,药品信息泄露后物主生命受到威胁，\n半藏极力快速找到物主，\n却仍被蛇女抢先将保护人杀害。,藥品資訊洩露後物主生命受到威脅，\n半藏極力快速找到物主，\n卻仍被蛇女搶先將保護人殺害。,藥品資訊洩露後物主生命受到威脅，\n半藏極力快速找到物主，\n卻仍被蛇女搶先將保護人殺害。
Text_1_533,恶忍的举动让人震惊，\n少女决定潜入蛇女学院探底背后恶忍老师铃音，\n不过所获无几。,惡忍的舉動讓人震驚，\n少女決定潛入蛇女學院探底背後惡忍老師鈴音，\n不過所獲無幾。,惡忍的舉動讓人震驚，\n少女決定潛入蛇女學院探底背後惡忍老師鈴音，\n不過所獲無幾。
Text_1_536,准备离开蛇女学院时竟遇到反叛而来的云雀。\n似乎是有什么不得已的缘由，\n少女决定暂且帮助云雀通过蛇女把控。,準備離開蛇女學院時竟遇到反叛而來的雲雀。\n似乎是有什麼不得已的緣由，\n少女決定暫且幫助雲雀通過蛇女把控。,準備離開蛇女學院時竟遇到反叛而來的雲雀。\n似乎是有什麼不得已的緣由，\n少女決定暫且幫助雲雀通過蛇女把控。
Text_1_539,通过咏的试炼似乎异常简单，\n只是喜欢豆芽菜而已，\n软性子的云雀不费吹灰之力获得咏的好感。,通過詠的試煉似乎異常簡單，\n只是喜歡豆芽菜而已，\n軟性子的雲雀不費吹灰之力獲得詠的好感。,通過詠的試煉似乎異常簡單，\n只是喜歡豆芽菜而已，\n軟性子的雲雀不費吹灰之力獲得詠的好感。
